number,wrist_x,wrist_y,thumb_cmc_x,thumb_cmc_y,thumb_mcp_x,thumb_mcp_y,thumb_ip_x,thumb_ip_y,thumb_tip_x,thumb_tip_y,index_finger_mcp_x,index_finger_mcp_y,index_finger_pip_x,index_finger_pip_y,index_finger_dip_x,index_finger_dip_y,index_finger_tip_x,index_finger_tip_y,middle_finger_mcp_x,middle_finger_mcp_y,middle_finger_pip_x,middle_finger_pip_y,middle_finger_dip_x,middle_finger_dip_y,middle_finger_tip_x,middle_finger_tip_y,ring_finger_mcp_x,ring_finger_mcp_y,ring_finger_pip_x,ring_finger_pip_y,ring_finger_dip_x,ring_finger_dip_y,ring_finger_tip_x,ring_finger_tip_y,pinky_mcp_x,pinky_mcp_y,pinky_pip_x,pinky_pip_y,pinky_dip_x,pinky_dip_y,pinky_tip_x,pinky_tip_y
0,0.0,0.0,-0.248868778280543,-0.03619909502262444,-0.4479638009049774,-0.17194570135746606,-0.5927601809954751,-0.29411764705882354,-0.7330316742081447,-0.3665158371040724,-0.34841628959276016,-0.4841628959276018,-0.497737556561086,-0.6470588235294118,-0.6018099547511312,-0.7285067873303167,-0.7013574660633484,-0.8009049773755657,-0.2579185520361991,-0.5565610859728507,-0.39819004524886875,-0.7601809954751131,-0.5158371040723982,-0.8642533936651584,-0.6289592760180995,-0.9502262443438914,-0.1493212669683258,-0.5882352941176471,-0.26244343891402716,-0.8054298642533937,-0.37104072398190047,-0.9140271493212669,-0.48868778280542985,-1.0,-0.02262443438914027,-0.583710407239819,-0.09049773755656108,-0.7692307692307693,-0.17194570135746606,-0.8778280542986425,-0.27149321266968324,-0.9638009049773756
0,0.0,0.0,-0.2398190045248869,-0.03167420814479638,-0.43891402714932126,-0.17194570135746606,-0.5746606334841629,-0.2986425339366516,-0.7058823529411765,-0.38009049773755654,-0.35294117647058826,-0.4841628959276018,-0.5067873303167421,-0.6470588235294118,-0.6244343891402715,-0.7330316742081447,-0.7330316742081447,-0.8054298642533937,-0.2579185520361991,-0.5565610859728507,-0.4072398190045249,-0.7601809954751131,-0.5339366515837104,-0.8687782805429864,-0.6515837104072398,-0.9592760180995475,-0.15384615384615385,-0.5882352941176471,-0.27601809954751133,-0.8009049773755657,-0.3891402714932127,-0.9140271493212669,-0.5113122171945701,-1.0,-0.027149321266968326,-0.5882352941176471,-0.09954751131221719,-0.7737556561085973,-0.18099547511312217,-0.8823529411764706,-0.28054298642533937,-0.9728506787330317
0,0.0,0.0,-0.24444444444444444,-0.03111111111111111,-0.44,-0.1688888888888889,-0.5777777777777777,-0.29333333333333333,-0.7066666666666667,-0.3688888888888889,-0.36,-0.4711111111111111,-0.52,-0.6311111111111111,-0.6311111111111111,-0.72,-0.7377777777777778,-0.8044444444444444,-0.27111111111111114,-0.5511111111111111,-0.4222222222222222,-0.7511111111111111,-0.5466666666666666,-0.8666666666666667,-0.6622222222222223,-0.96,-0.1688888888888889,-0.5822222222222222,-0.29777777777777775,-0.7911111111111111,-0.41333333333333333,-0.9066666666666666,-0.5288888888888889,-1.0,-0.04888888888888889,-0.5777777777777777,-0.12,-0.7644444444444445,-0.2,-0.8755555555555555,-0.29777777777777775,-0.9688888888888889
0,0.0,0.0,-0.2245762711864407,-0.03389830508474576,-0.4110169491525424,-0.16101694915254236,-0.538135593220339,-0.2669491525423729,-0.6610169491525424,-0.326271186440678,-0.3474576271186441,-0.4576271186440678,-0.4957627118644068,-0.6186440677966102,-0.597457627118644,-0.7076271186440678,-0.690677966101695,-0.7966101694915254,-0.2584745762711864,-0.5296610169491526,-0.3940677966101695,-0.7330508474576272,-0.4957627118644068,-0.8559322033898306,-0.5889830508474576,-0.961864406779661,-0.15677966101694915,-0.5550847457627118,-0.2711864406779661,-0.7669491525423728,-0.3728813559322034,-0.8940677966101694,-0.4745762711864407,-1.0,-0.038135593220338986,-0.5508474576271186,-0.1059322033898305,-0.7415254237288136,-0.17372881355932204,-0.8601694915254238,-0.2457627118644068,-0.9703389830508474
0,0.0,0.0,-0.20318725099601595,-0.01593625498007968,-0.38247011952191234,-0.11553784860557768,-0.4940239043824701,-0.20717131474103587,-0.5936254980079682,-0.26693227091633465,-0.350597609561753,-0.4302788844621514,-0.50199203187251,-0.5776892430278885,-0.5976095617529881,-0.6693227091633466,-0.6772908366533864,-0.7569721115537849,-0.26294820717131473,-0.50199203187251,-0.3904382470119522,-0.7051792828685259,-0.4701195219123506,-0.8406374501992032,-0.5298804780876494,-0.952191235059761,-0.1593625498007968,-0.5258964143426295,-0.2549800796812749,-0.7450199203187251,-0.32270916334661354,-0.8804780876494024,-0.38645418326693226,-1.0,-0.0398406374501992,-0.5139442231075697,-0.06772908366533864,-0.7091633466135459,-0.08764940239043825,-0.8366533864541833,-0.11952191235059761,-0.9601593625498008
0,0.0,0.0,-0.1953125,-0.015625,-0.3671875,-0.109375,-0.47265625,-0.19140625,-0.5703125,-0.23828125,-0.359375,-0.42578125,-0.51171875,-0.5625,-0.609375,-0.65234375,-0.68359375,-0.73828125,-0.27734375,-0.5,-0.3984375,-0.703125,-0.46875,-0.83203125,-0.51953125,-0.9375,-0.171875,-0.5234375,-0.26171875,-0.74609375,-0.31640625,-0.8828125,-0.36328125,-1.0,-0.05078125,-0.51171875,-0.0546875,-0.70703125,-0.05859375,-0.8359375,-0.0703125,-0.953125
0,0.0,0.0,-0.19921875,-0.01171875,-0.37109375,-0.08984375,-0.47265625,-0.15625,-0.5703125,-0.19921875,-0.375,-0.4140625,-0.53515625,-0.54296875,-0.6328125,-0.6328125,-0.70703125,-0.71875,-0.29296875,-0.48828125,-0.41015625,-0.69921875,-0.48046875,-0.828125,-0.53125,-0.93359375,-0.1875,-0.51953125,-0.265625,-0.7421875,-0.3125,-0.87890625,-0.359375,-1.0,-0.0625,-0.5078125,-0.05859375,-0.69921875,-0.05078125,-0.828125,-0.0546875,-0.94921875
0,0.0,0.0,-0.19140625,-0.0078125,-0.359375,-0.08203125,-0.4609375,-0.140625,-0.55859375,-0.16796875,-0.37890625,-0.40625,-0.53515625,-0.53515625,-0.625,-0.62109375,-0.6953125,-0.70703125,-0.29296875,-0.484375,-0.40234375,-0.69140625,-0.4609375,-0.8203125,-0.50390625,-0.921875,-0.18359375,-0.515625,-0.25390625,-0.7421875,-0.296875,-0.87890625,-0.3359375,-1.0,-0.0546875,-0.50390625,-0.0390625,-0.703125,-0.02734375,-0.83203125,-0.0234375,-0.953125
0,0.0,0.0,-0.16862745098039217,0.00784313725490196,-0.3411764705882353,-0.03529411764705882,-0.4588235294117647,-0.054901960784313725,-0.5529411764705883,-0.054901960784313725,-0.37254901960784315,-0.39215686274509803,-0.5098039215686274,-0.5333333333333333,-0.5803921568627451,-0.6274509803921569,-0.6235294117647059,-0.7137254901960784,-0.28627450980392155,-0.47058823529411764,-0.38823529411764707,-0.6901960784313725,-0.4392156862745098,-0.8313725490196079,-0.4745098039215686,-0.9490196078431372,-0.17647058823529413,-0.5019607843137255,-0.22745098039215686,-0.7333333333333333,-0.2549019607843137,-0.8745098039215686,-0.28627450980392155,-1.0,-0.054901960784313725,-0.4823529411764706,-0.01568627450980392,-0.6784313725490196,0.0196078431372549,-0.807843137254902,0.0392156862745098,-0.9294117647058824
0,0.0,0.0,-0.1752988047808765,0.01593625498007968,-0.3545816733067729,-0.02390438247011952,-0.47808764940239046,-0.0398406374501992,-0.5776892430278885,-0.03187250996015936,-0.3784860557768924,-0.3904382470119522,-0.5219123505976095,-0.5378486055776892,-0.5856573705179283,-0.6374501992031872,-0.6215139442231076,-0.7290836653386454,-0.2948207171314741,-0.4701195219123506,-0.40239043824701193,-0.6932270916334662,-0.4581673306772908,-0.8406374501992032,-0.4900398406374502,-0.9561752988047809,-0.18725099601593626,-0.49800796812749004,-0.24302788844621515,-0.7370517928286853,-0.27091633466135456,-0.8804780876494024,-0.29880478087649404,-1.0,-0.06374501992031872,-0.4860557768924303,-0.02390438247011952,-0.6812749003984063,0.01195219123505976,-0.8167330677290837,0.03187250996015936,-0.9402390438247012
